pressure_bin,temp_adjusted,psal_adjusted,juld,year,month,day,time,latitude,longitude,source_file,region,salinity_mean,salinity_std,temp_mean,temp_std,salinity_z,temp_z,salinity_flag,temp_flag,summary
"(0, 50]",13.8,35.300198,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.91688817751479,1.846332981501256,19.549177393491124,5.405627529352638,0.2076060094932278,-1.063554113240878,normal,normal,"On 2020-09-01 at 11:45:17.000001 UTC, in the Southeast Indian Ocean (lat -38.22°, lon 116.93°), at a depth of 0–50 dbar, the temperature was 13.80 °C and the salinity was 35.30 PSU."
"(50, 100]",13.809799,35.300297,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.98662503529412,1.830892081202164,19.14105449117647,5.191820153414921,0.171321929853957,-1.0268567349486932,normal,normal,"On 2020-09-01 at 11:45:17.000001 UTC, in the Southeast Indian Ocean (lat -38.22°, lon 116.93°), at a depth of 50–100 dbar, the temperature was 13.81 °C and the salinity was 35.30 PSU."
"(100, 150]",13.6912,35.274,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,35.041496888235294,1.816326232265552,17.831301605882352,4.146793255683332,0.1280073522225684,-0.9983863073492248,normal,normal,"On 2020-09-01 at 11:45:17.000001 UTC, in the Southeast Indian Ocean (lat -38.22°, lon 116.93°), at a depth of 100–150 dbar, the temperature was 13.69 °C and the salinity was 35.27 PSU."
"(150, 200]",12.806399,35.1076,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,35.04181110588235,1.7961577844737833,16.11574094705882,3.160065853874784,0.0366275695188545,-1.0472382855569289,normal,normal,"On 2020-09-01 at 11:45:17.000001 UTC, in the Southeast Indian Ocean (lat -38.22°, lon 116.93°), at a depth of 150–200 dbar, the temperature was 12.81 °C and the salinity was 35.11 PSU."
"(200, 250]",12.141601,35.032402,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.99689159411765,1.77669995155846,14.531547208823527,2.5360775922539074,0.0199867208029133,-0.9423789777265822,normal,normal,"On 2020-09-01 at 11:45:17.000001 UTC, in the Southeast Indian Ocean (lat -38.22°, lon 116.93°), at a depth of 200–250 dbar, the temperature was 12.14 °C and the salinity was 35.03 PSU."
"(250, 300]",11.1421995,34.8992,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.91002193529412,1.7583099008051688,13.11345325,1.9174876352358476,-0.0061547371650253,-1.0280398756039637,normal,normal,"On 2020-09-01 at 11:45:17.000001 UTC, in the Southeast Indian Ocean (lat -38.22°, lon 116.93°), at a depth of 250–300 dbar, the temperature was 11.14 °C and the salinity was 34.90 PSU."
"(300, 350]",10.4434,34.791,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.79868301764706,1.740898180871113,11.942244620588236,1.3140761304171535,-0.0044132492821701,-1.1406071428391495,normal,normal,"On 2020-09-01 at 11:45:17.000001 UTC, in the Southeast Indian Ocean (lat -38.22°, lon 116.93°), at a depth of 300–350 dbar, the temperature was 10.44 °C and the salinity was 34.79 PSU."
"(350, 400]",10.106999,34.745335,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.69850869411765,1.7279319808506388,11.04636564117647,0.8851496434429423,0.0270996233655541,-1.061251787350488,normal,normal,"On 2020-09-01 at 11:45:17.000001 UTC, in the Southeast Indian Ocean (lat -38.22°, lon 116.93°), at a depth of 350–400 dbar, the temperature was 10.11 °C and the salinity was 34.75 PSU."
"(400, 450]",10.009999,34.75033,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.610975476190475,1.729337499809391,10.348078889880952,0.6544725029769632,0.0805826068219087,-0.5165685163901403,normal,normal,"On 2020-09-01 at 11:45:17.000001 UTC, in the Southeast Indian Ocean (lat -38.22°, lon 116.93°), at a depth of 400–450 dbar, the temperature was 10.01 °C and the salinity was 34.75 PSU."
"(450, 500]",9.8220005,34.7325,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.54677298224853,1.715296024842352,9.797125686390531,0.6179167085886427,0.10827694757151,0.0402559329821066,normal,normal,"On 2020-09-01 at 11:45:17.000001 UTC, in the Southeast Indian Ocean (lat -38.22°, lon 116.93°), at a depth of 450–500 dbar, the temperature was 9.82 °C and the salinity was 34.73 PSU."
